#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Host,RefSeq category
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,CMW7756B,SAMN03956213,PRJNA272125,GCA_001546845.1,Scaffold,2.09885,38.9,NA,LRQT01,94,1866,2016-02-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/546/845/GCA_001546845.1_ASM154684v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/546/845/GCF_001546845.1_ASM154684v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,OK5,SAMN06644703,PRJNA380512,GCA_002082765.1,Complete,2.07195,39.1,chromosome:NZ_CP020566.1/CP020566.1,,1,1788,2017-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/765/GCA_002082765.1_ASM208276v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/765/GCF_002082765.1_ASM208276v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,AF36-15BH,SAMN09734641,PRJNA482748,GCA_003474825.1,Scaffold,1.99286,38.9,NA,QRPF01,24,1780,2018-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/474/825/GCA_003474825.1_ASM347482v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/474/825/GCF_003474825.1_ASM347482v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,KHUD_V1,SAMN09946802,PRJNA488979,GCA_003605975.1,Scaffold,2.18929,39,NA,QXZZ01,54,1956,2018-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/605/975/GCA_003605975.1_ASM360597v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/605/975/GCF_003605975.1_ASM360597v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,DFI.4.11,SAMN22167503,PRJNA737800,GCA_020559285.1,Contig,2.2249,39.2,NA,JAJCLE01,326,2165,2021-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/559/285/GCA_020559285.1_ASM2055928v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/559/285/GCF_020559285.1_ASM2055928v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,DFI.2.98,SAMN22167423,PRJNA737800,GCA_020560985.1,Contig,2.2125,39.1,NA,JAJCNH01,239,2153,2021-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/560/985/GCA_020560985.1_ASM2056098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/560/985/GCF_020560985.1_ASM2056098v1,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,NCTC11830,SAMEA4475705,PRJEB6403,GCA_900460235.1,Contig,2.10794,39,NA,UHIF01,8,1846,2018-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/460/235/GCA_900460235.1_51485_B02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/460/235/GCF_900460235.1_51485_B02,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,Veillonella_atypica_BgEED38,SAMEA5664382,PRJEB32184,GCA_901875535.1,Contig,2.07856,38.9,NA,CABFMO01,60,1823,2021-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/875/535/GCA_901875535.1_Veillonella_atypica_BgEED38,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/875/535/GCF_901875535.1_Veillonella_atypica_BgEED38,Homo sapiens,NA
Veillonella atypica,Bacteria;Terrabacteria group;Firmicutes,MGYG-HGUT-01444,SAMEA5850947,PRJEB33885,GCA_902375065.1,Scaffold,2.07161,39.1,NA,CABKSO01,3,1815,2019-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/375/065/GCA_902375065.1_MGYG-HGUT-01444,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/375/065/GCF_902375065.1_MGYG-HGUT-01444,Homo sapiens,representative
Veillonella atypica ACS-049-V-Sch6,Bacteria;Terrabacteria group;Firmicutes,ACS-049-V-Sch6,SAMN00100757,PRJNA51075,GCA_000179735.1,Contig,2.05387,39,NA,AEDR01,63,1817,2010-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/735/GCA_000179735.1_ASM17973v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/735/GCF_000179735.1_ASM17973v1,Homo sapiens,NA
